"Basin","Subbasin","Date","Year","Month","Avg_rainfall","Agency_name"
"Brahmani and Baitarni Basin","Brahmani","2023-01-05","2023","01","0.0006808889","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-01-06","2023","01","0.0073249288","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-01-07","2023","01","1.59914E-5","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-01-08","2023","01","7.9078E-5","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-01-09","2023","01","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-01-10","2023","01","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-01-11","2023","01","0.0037527898","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-01-12","2023","01","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-01-13","2023","01","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-01-14","2023","01","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-01-15","2023","01","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-01-17","2023","01","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-01-19","2023","01","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-01-18","2023","01","0.0076254793","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-01-20","2023","01","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-01-21","2023","01","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-01-22","2023","01","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-01-23","2023","01","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2023-01-24","2023","01","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-01-02","2023","01","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-01-01","2023","01","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-01-03","2023","01","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-01-04","2023","01","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-01-05","2023","01","3.31885E-5","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-01-06","2023","01","0.2020767849","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-01-07","2023","01","0.0004445324","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-01-08","2023","01","0.1555141301","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2023-01-09","2023","01","0.4467683983","NRSC VIC MODEL"
