"Basin","Subbasin","Date","Year","Month","Avg_rainfall","Agency_name"
"Barak and Others Basin","Naoch chara and others","2022-12-25","2022","12","NA","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-12-26","2022","12","6.84754E-5","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-12-27","2022","12","2.0516326656","NRSC VIC MODEL"
"Barak and Others Basin","Naoch chara and others","2022-12-28","2022","12","0.4322528411","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-12-01","2022","12","0.0552605036","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-12-02","2022","12","0.1183279707","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-12-04","2022","12","0.2550328809","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-12-03","2022","12","0.0762359495","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-12-05","2022","12","0.2215192242","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-12-06","2022","12","0.1454615774","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-12-07","2022","12","3.82E-8","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-12-09","2022","12","0.0092668924","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-12-11","2022","12","0.0315633055","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-12-10","2022","12","0.136514792","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-12-12","2022","12","0.0026314651","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-12-13","2022","12","0.0216020314","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-12-14","2022","12","0.0049511872","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-12-15","2022","12","NA","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-12-16","2022","12","0.0258081395","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-12-17","2022","12","0.0072489101","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-12-18","2022","12","NA","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-12-19","2022","12","0.0012603453","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-12-20","2022","12","0.012101375","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-12-21","2022","12","0.0262317344","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-12-22","2022","12","0.0025599109","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-12-23","2022","12","0.0053217672","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-12-24","2022","12","NA","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-12-25","2022","12","0.0168639054","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-12-26","2022","12","0.0574825481","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-12-27","2022","12","0.5768474171","NRSC VIC MODEL"
"Brahamaputra Basin","Brahmaputra Lower","2022-12-28","2022","12","0.2085759649","NRSC VIC MODEL"
