"Basin","Subbasin","Date","Year","Month","Avg_rainfall","Agency_name"
"Brahmani and Baitarni Basin","Baitarni","2022-10-04","2022","10","29.3233849142","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-10-05","2022","10","31.5912329958","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-10-06","2022","10","8.0783230025","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-10-07","2022","10","6.269327239","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-10-08","2022","10","0.8849815699","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-10-09","2022","10","1.3812229271","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-10-10","2022","10","3.3877746375","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-10-11","2022","10","1.2541959716","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-10-12","2022","10","3.8963407648","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-10-13","2022","10","17.6094165228","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-10-14","2022","10","1.6785073611","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-10-16","2022","10","4.1066903909","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-10-15","2022","10","7.1538410876","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-10-17","2022","10","0.7359101845","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-10-18","2022","10","0.0022599543","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-10-19","2022","10","0.5068413213","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-10-20","2022","10","0.0444672082","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-10-21","2022","10","0.002150132","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-10-22","2022","10","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-10-23","2022","10","0.0355905916","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-10-24","2022","10","1.0137884584","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-10-25","2022","10","0.2248514426","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-10-26","2022","10","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-10-27","2022","10","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Baitarni","2022-10-28","2022","10","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-10-01","2022","10","2.9773969929","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-10-03","2022","10","4.0771251744","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-10-02","2022","10","1.2327326353","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-10-04","2022","10","7.8131777112","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-10-05","2022","10","19.1966825359","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-10-06","2022","10","3.7365271388","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-10-07","2022","10","5.0353812978","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-10-08","2022","10","2.6286330761","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-10-09","2022","10","0.8933587098","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-10-10","2022","10","2.5848729476","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-10-11","2022","10","1.9877063509","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-10-12","2022","10","3.1805738078","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-10-13","2022","10","24.7355792613","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-10-14","2022","10","0.8043725784","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-10-16","2022","10","1.0572412298","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-10-15","2022","10","5.0360155866","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-10-17","2022","10","2.5704774701","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-10-18","2022","10","1.2661246461","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-10-19","2022","10","2.2073605087","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-10-20","2022","10","0.0115799409","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-10-21","2022","10","0.3489398297","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-10-22","2022","10","0.0002160501","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-10-23","2022","10","0.0119209286","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-10-24","2022","10","1.2418948369","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-10-25","2022","10","0.0653330672","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-10-26","2022","10","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-10-27","2022","10","NA","NRSC VIC MODEL"
"Brahmani and Baitarni Basin","Brahmani","2022-10-28","2022","10","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-10-01","2022","10","1.4438589343","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-10-03","2022","10","0.5501946721","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-10-02","2022","10","0.6095326822","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-10-04","2022","10","0.0547623755","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-10-05","2022","10","1.0274016375","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-10-06","2022","10","1.1502056139","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-10-07","2022","10","0.0164930064","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-10-08","2022","10","0.3155367333","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-10-09","2022","10","7.47162667","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-10-10","2022","10","19.3453128798","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-10-11","2022","10","10.7622251689","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-10-12","2022","10","2.604232452","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-10-13","2022","10","5.063203889","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-10-14","2022","10","3.5642929865","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-10-16","2022","10","2.9025610197","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-10-15","2022","10","11.2276196863","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-10-17","2022","10","3.8384660377","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-10-18","2022","10","3.2779486553","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-10-19","2022","10","7.0849523507","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-10-20","2022","10","15.0432717531","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-10-21","2022","10","15.8983063915","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-10-22","2022","10","2.4915463961","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-10-23","2022","10","5.3168232683","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-10-24","2022","10","0.1437029564","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-10-25","2022","10","0.218203716","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-10-26","2022","10","NA","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-10-27","2022","10","1.0728278147","NRSC VIC MODEL"
"Cauvery Basin","Cauvery Lower","2022-10-28","2022","10","0.7588734729","NRSC VIC MODEL"
